dataset,method,noise,seed,round,auroc_introspection,auroc_entropy
fmnist,iris,0.0,0,0,0.7961,0.8384
fmnist,iris,0.0,0,1,0.7596,0.8345
fmnist,iris,0.0,0,2,0.744,0.8379
fmnist,iris,0.0,0,3,0.7577,0.8536
fmnist,iris,0.0,0,4,0.7641,0.8561
fmnist,iris,0.0,0,5,0.7751,0.8727
fmnist,iris,0.0,1,0,0.7426,0.8088
fmnist,iris,0.0,1,1,0.781,0.8475
fmnist,iris,0.0,1,2,0.7892,0.8458
fmnist,iris,0.0,1,3,0.7677,0.8437
fmnist,iris,0.0,1,4,0.7778,0.864
fmnist,iris,0.0,1,5,0.7683,0.8574
fmnist,iris,0.0,2,0,0.7691,0.8316
fmnist,iris,0.0,2,1,0.7596,0.8446
fmnist,iris,0.0,2,2,0.7469,0.8331
fmnist,iris,0.0,2,3,0.7517,0.8493
fmnist,iris,0.0,2,4,0.765,0.8633
fmnist,iris,0.0,2,5,0.7722,0.8681
fmnist,iris-nodiv,0.0,0,0,0.7961,0.8384
fmnist,iris-nodiv,0.0,0,1,0.7708,0.8355
fmnist,iris-nodiv,0.0,0,2,0.7682,0.8452
fmnist,iris-nodiv,0.0,0,3,0.7531,0.8498
fmnist,iris-nodiv,0.0,0,4,0.7615,0.8498
fmnist,iris-nodiv,0.0,1,0,0.7426,0.8088
fmnist,iris-nodiv,0.0,0,0,0.7961,0.8384
fmnist,iris-nodiv,0.0,0,1,0.7708,0.8355
fmnist,iris-nodiv,0.0,0,2,0.7682,0.8452
fmnist,iris-nodiv,0.0,0,3,0.7531,0.8498
fmnist,iris-nodiv,0.0,0,4,0.7621,0.8485
fmnist,iris-nodiv,0.0,0,5,0.7786,0.8689
fmnist,iris-nodiv,0.0,1,0,0.7426,0.8088
fmnist,iris-nodiv,0.0,1,1,0.778,0.8333
fmnist,iris-nodiv,0.0,1,2,0.7645,0.8333
fmnist,iris-nodiv,0.0,1,3,0.7685,0.8431
fmnist,iris-nodiv,0.0,1,4,0.7625,0.8427
fmnist,iris-nodiv,0.0,1,5,0.7807,0.8512
fmnist,iris-nodiv,0.0,2,0,0.7641,0.8316
fmnist,iris-nodiv,0.0,2,1,0.7916,0.8494
fmnist,iris-nodiv,0.0,2,2,0.7527,0.847
fmnist,iris-nodiv,0.0,2,3,0.7451,0.8406
fmnist,iris-nodiv,0.0,2,4,0.7451,0.8442
fmnist,iris-nodiv,0.0,2,5,0.7644,0.8612
fmnist,iris,0.2,0,0,0.8009,0.8387
fmnist,iris,0.2,0,1,0.7475,0.8088
fmnist,iris,0.2,0,2,0.7287,0.8252
fmnist,iris,0.2,0,3,0.7167,0.8175
fmnist,iris,0.2,0,4,0.7474,0.8386
fmnist,iris,0.2,0,5,0.7546,0.8432
fmnist,iris,0.2,1,0,0.7612,0.8149
fmnist,iris,0.2,1,1,0.7509,0.8236
fmnist,iris,0.2,1,2,0.724,0.8167
fmnist,iris,0.2,1,3,0.726,0.8136
fmnist,iris,0.2,1,4,0.7376,0.8348
fmnist,iris,0.2,1,5,0.7538,0.8335
fmnist,iris,0.2,2,0,0.7431,0.813
fmnist,iris,0.2,2,1,0.73,0.8299
fmnist,iris,0.2,2,2,0.7353,0.8105
fmnist,iris,0.2,2,3,0.7505,0.8328
fmnist,iris,0.2,2,4,0.7576,0.8421
fmnist,iris,0.2,2,5,0.7478,0.8473
fmnist,iris-norel,0.2,0,0,0.789,0.8116
fmnist,iris-norel,0.2,0,1,0.7649,0.7899
fmnist,iris-norel,0.2,0,2,0.7379,0.7979
fmnist,iris-norel,0.2,0,3,0.7211,0.7946
fmnist,iris-norel,0.2,0,4,0.7017,0.7974
fmnist,iris-norel,0.2,0,5,0.7286,0.7926
fmnist,iris-norel,0.2,1,0,0.734,0.7802
fmnist,iris-norel,0.2,1,1,0.7256,0.7967
fmnist,iris-norel,0.2,1,2,0.7342,0.8014
fmnist,iris-norel,0.2,1,3,0.7409,0.7991
fmnist,iris-norel,0.2,1,4,0.7334,0.7979
fmnist,iris-norel,0.2,1,5,0.7133,0.7888
fmnist,iris-norel,0.2,2,0,0.748,0.8105
fmnist,iris-norel,0.2,2,1,0.7374,0.8141
fmnist,iris-norel,0.2,2,2,0.7041,0.8156
fmnist,iris-norel,0.2,2,3,0.7123,0.8129
fmnist,iris-norel,0.2,2,4,0.7519,0.8303
fmnist,iris-norel,0.2,2,5,0.7412,0.8197
cifar10,iris,0.0,0,0,0.6248,0.6889
cifar10,iris,0.0,0,1,0.6030,0.6943
cifar10,iris,0.0,0,2,0.6481,0.7250
cifar10,iris,0.0,0,3,0.6550,0.7394
cifar10,iris,0.0,0,4,0.7084,0.7914
cifar10,iris,0.0,0,5,0.7164,0.8028
cifar10,iris,0.0,1,0,0.6116,0.7065
cifar10,iris,0.0,1,1,0.6077,0.7093
cifar10,iris,0.0,1,2,0.6182,0.7259
cifar10,iris,0.0,1,3,0.6240,0.7370
cifar10,iris,0.0,1,4,0.6886,0.7762
cifar10,iris,0.0,1,5,0.7209,0.8062
cifar10,iris,0.0,2,0,0.6114,0.6968
cifar10,iris,0.0,2,1,0.6033,0.7001
cifar10,iris,0.0,2,2,0.6425,0.7271
cifar10,iris,0.0,2,3,0.6332,0.7394
cifar10,iris,0.0,2,4,0.6901,0.7763
cifar10,iris,0.0,2,5,0.6991,0.7875
cifar10,iris,0.2,0,0,0.6081,0.6633
cifar10,iris,0.2,0,1,0.6027,0.6824
cifar10,iris,0.2,0,2,0.6135,0.7016
cifar10,iris,0.2,0,3,0.6543,0.7249
cifar10,iris,0.2,0,4,0.6670,0.7363
cifar10,iris,0.2,0,5,0.6360,0.7187
cifar10,iris,0.2,1,0,0.6265,0.6747
cifar10,iris,0.2,1,1,0.5948,0.6851
cifar10,iris,0.2,1,2,0.6222,0.6937
cifar10,iris,0.2,1,3,0.6200,0.7104
cifar10,iris,0.2,1,4,0.6511,0.7220
cifar10,iris,0.2,1,5,0.6333,0.7271
cifar10,iris,0.2,2,0,0.5916,0.6682
cifar10,iris,0.2,2,1,0.5765,0.6637
cifar10,iris,0.2,2,2,0.5988,0.6882
cifar10,iris,0.2,2,3,0.6009,0.7021
cifar10,iris,0.2,2,4,0.6338,0.7256
cifar10,iris,0.2,2,5,0.6428,0.7368
bloodmnist,iris,0.0,0,0,0.7794,0.8026
bloodmnist,iris,0.0,0,1,0.6761,0.7189
bloodmnist,iris,0.0,0,2,0.7826,0.8491
bloodmnist,iris,0.0,0,3,0.7866,0.8598
bloodmnist,iris,0.0,0,4,0.8252,0.8751
bloodmnist,iris,0.0,0,5,0.8479,0.9005
bloodmnist,iris,0.0,1,0,0.7464,0.7669
bloodmnist,iris,0.0,1,1,0.7586,0.8199
bloodmnist,iris,0.0,1,2,0.7200,0.7733
bloodmnist,iris,0.0,1,3,0.8286,0.8839
bloodmnist,iris,0.0,1,4,0.8258,0.8868
bloodmnist,iris,0.0,1,5,0.8533,0.9021
bloodmnist,iris,0.0,2,0,0.7020,0.7008
bloodmnist,iris,0.0,2,1,0.7828,0.8272
bloodmnist,iris,0.0,2,2,0.7743,0.8396
bloodmnist,iris,0.0,2,3,0.7640,0.8439
bloodmnist,iris,0.0,2,4,0.8136,0.8895
bloodmnist,iris,0.0,2,5,0.8535,0.9014
bloodmnist,iris-nodiv,0.0,0,0,0.7791,0.8051
bloodmnist,iris-nodiv,0.0,0,1,0.7950,0.8288
bloodmnist,iris-nodiv,0.0,0,2,0.7590,0.8399
bloodmnist,iris-nodiv,0.0,0,3,0.7205,0.8018
bloodmnist,iris-nodiv,0.0,0,4,0.7699,0.8661
bloodmnist,iris-nodiv,0.0,0,5,0.7612,0.8584
bloodmnist,iris-nodiv,0.0,1,0,0.7404,0.7634
bloodmnist,iris-nodiv,0.0,1,1,0.8138,0.8590
bloodmnist,iris-nodiv,0.0,1,2,0.7854,0.8178
bloodmnist,iris-nodiv,0.0,1,3,0.7850,0.8404
bloodmnist,iris-nodiv,0.0,1,4,0.7770,0.8738
bloodmnist,iris-nodiv,0.0,1,5,0.7318,0.8379
bloodmnist,iris-nodiv,0.0,2,0,0.7013,0.7063
bloodmnist,iris-nodiv,0.0,2,1,0.7932,0.8572
bloodmnist,iris-nodiv,0.0,2,2,0.7620,0.8260
bloodmnist,iris-nodiv,0.0,2,3,0.7663,0.8410
bloodmnist,iris-nodiv,0.0,2,4,0.7636,0.8766
bloodmnist,iris-nodiv,0.0,2,5,0.7546,0.8665
bloodmnist,iris,0.2,0,0,0.7706,0.7925
bloodmnist,iris,0.2,0,1,0.6511,0.6879
bloodmnist,iris,0.2,0,2,0.7898,0.8505
bloodmnist,iris,0.2,0,3,0.7747,0.8412
bloodmnist,iris,0.2,0,4,0.7816,0.8673
bloodmnist,iris,0.2,0,5,0.8128,0.8790
bloodmnist,iris,0.2,1,0,0.7133,0.6950
bloodmnist,iris,0.2,1,1,0.7532,0.8192
bloodmnist,iris,0.2,1,2,0.7246,0.7853
bloodmnist,iris,0.2,1,3,0.7961,0.8489
bloodmnist,iris,0.2,1,4,0.8393,0.8775
bloodmnist,iris,0.2,1,5,0.8462,0.8848
bloodmnist,iris,0.2,2,0,0.7327,0.6990
bloodmnist,iris,0.2,2,1,0.7560,0.7820
bloodmnist,iris,0.2,2,2,0.8099,0.8635
bloodmnist,iris,0.2,2,3,0.7417,0.8185
bloodmnist,iris,0.2,2,4,0.7829,0.8557
bloodmnist,iris,0.2,2,5,0.8345,0.8866
bloodmnist,iris-norel,0.2,0,0,0.7790,0.7844
bloodmnist,iris-norel,0.2,0,1,0.6631,0.6665
bloodmnist,iris-norel,0.2,0,2,0.7739,0.8176
bloodmnist,iris-norel,0.2,0,3,0.6581,0.7178
bloodmnist,iris-norel,0.2,0,4,0.7910,0.8509
bloodmnist,iris-norel,0.2,0,5,0.8131,0.8588
bloodmnist,iris-norel,0.2,1,0,0.7406,0.6960
bloodmnist,iris-norel,0.2,1,1,0.7622,0.7973
bloodmnist,iris-norel,0.2,1,2,0.7460,0.7935
bloodmnist,iris-norel,0.2,1,3,0.7874,0.8168
bloodmnist,iris-norel,0.2,1,4,0.8372,0.8633
bloodmnist,iris-norel,0.2,1,5,0.8189,0.8594
bloodmnist,iris-norel,0.2,2,0,0.7351,0.6990
bloodmnist,iris-norel,0.2,2,1,0.7583,0.7796
bloodmnist,iris-norel,0.2,2,2,0.7530,0.7541
bloodmnist,iris-norel,0.2,2,3,0.7768,0.7933
bloodmnist,iris-norel,0.2,2,4,0.8024,0.8291
bloodmnist,iris-norel,0.2,2,5,0.8502,0.8604
bloodmnist,iris,0.0,3,0,0.7667,0.8175
bloodmnist,iris,0.0,3,1,0.7290,0.7685
bloodmnist,iris,0.0,3,2,0.7602,0.8398
bloodmnist,iris,0.0,3,3,0.8069,0.8735
bloodmnist,iris,0.0,3,4,0.8462,0.8922
bloodmnist,iris,0.0,3,5,0.8389,0.9067
bloodmnist,iris,0.0,4,0,0.7401,0.7987
bloodmnist,iris,0.0,4,1,0.7222,0.7641
bloodmnist,iris,0.0,4,2,0.7409,0.7804
bloodmnist,iris,0.0,4,3,0.8199,0.8861
bloodmnist,iris,0.0,4,4,0.8358,0.8900
