dataset,method,noise,seed,round,n_labeled,test_acc,wall_s
fmnist,random,0.0,0,0,500,0.7501,10.8
fmnist,random,0.0,0,1,1000,0.7770,30.1
fmnist,random,0.0,0,2,1500,0.8263,58.0
fmnist,random,0.0,0,3,2000,0.8439,96.0
fmnist,random,0.0,0,4,2500,0.8476,147.7
fmnist,random,0.0,0,5,3000,0.8688,210.5
fmnist,random,0.0,1,0,500,0.7103,11.7
fmnist,random,0.0,1,1,1000,0.7884,36.7
fmnist,random,0.0,1,2,1500,0.8196,69.2
fmnist,random,0.0,1,3,2000,0.8370,116.4
fmnist,random,0.0,1,4,2500,0.8435,169.0
fmnist,random,0.0,1,5,3000,0.8638,235.7
fmnist,random,0.0,2,0,500,0.7495,13.0
fmnist,random,0.0,2,1,1000,0.7967,37.8
fmnist,random,0.0,2,2,1500,0.8051,73.9
fmnist,random,0.0,2,3,2000,0.8424,120.0
fmnist,random,0.0,2,4,2500,0.8470,178.9
fmnist,random,0.0,2,5,3000,0.8599,247.4
fmnist,entropy,0.0,0,0,500,0.7501,12.8
fmnist,entropy,0.0,0,1,1000,0.7939,39.4
fmnist,entropy,0.0,0,2,1500,0.8263,76.7
fmnist,entropy,0.0,0,3,2000,0.8290,124.8
fmnist,entropy,0.0,0,4,2500,0.8587,176.4
fmnist,entropy,0.0,0,5,3000,0.8758,238.7
fmnist,entropy,0.0,1,0,500,0.7103,11.6
fmnist,entropy,0.0,1,1,1000,0.7804,36.3
fmnist,entropy,0.0,1,2,1500,0.8228,71.1
fmnist,entropy,0.0,1,3,2000,0.8370,118.9
fmnist,entropy,0.0,1,4,2500,0.8612,177.6
fmnist,entropy,0.0,1,5,3000,0.8591,246.0
fmnist,entropy,0.0,2,0,500,0.7495,12.2
fmnist,entropy,0.0,2,1,1000,0.8155,37.9
fmnist,entropy,0.0,2,2,1500,0.8189,76.8
fmnist,entropy,0.0,2,3,2000,0.8432,127.0
fmnist,entropy,0.0,2,4,2500,0.8478,188.4
fmnist,entropy,0.0,2,5,3000,0.8689,257.8
fmnist,bald,0.0,0,0,500,0.7501,13.0
fmnist,bald,0.0,0,1,1000,0.7986,53.8
fmnist,bald,0.0,0,2,1500,0.8187,106.2
fmnist,bald,0.0,0,3,2000,0.8412,170.1
fmnist,bald,0.0,0,4,2500,0.8564,245.2
fmnist,bald,0.0,0,5,3000,0.8827,330.3
fmnist,bald,0.0,1,0,500,0.7103,13.1
fmnist,bald,0.0,1,1,1000,0.7859,53.6
fmnist,bald,0.0,1,2,1500,0.8122,106.2
fmnist,bald,0.0,1,3,2000,0.8303,169.1
fmnist,bald,0.0,1,4,2500,0.8622,244.8
fmnist,bald,0.0,1,5,3000,0.8716,320.7
fmnist,bald,0.0,2,0,500,0.7495,11.7
fmnist,bald,0.0,2,1,1000,0.8164,48.7
fmnist,bald,0.0,2,2,1500,0.8213,98.5
fmnist,bald,0.0,2,3,2000,0.8537,158.2
fmnist,bald,0.0,2,4,2500,0.8678,232.9
fmnist,bald,0.0,2,5,3000,0.8819,315.5
fmnist,coreset,0.0,0,0,500,0.7501,13.2
fmnist,coreset,0.0,0,1,1000,0.7861,45.2
fmnist,coreset,0.0,0,2,1500,0.8161,86.0
fmnist,coreset,0.0,0,3,2000,0.8216,140.6
fmnist,coreset,0.0,0,4,2500,0.8174,207.3
fmnist,coreset,0.0,0,5,3000,0.8345,280.0
fmnist,coreset,0.0,1,0,500,0.7103,11.6
fmnist,coreset,0.0,1,1,1000,0.7792,38.7
fmnist,coreset,0.0,1,2,1500,0.8156,77.0
fmnist,coreset,0.0,1,3,2000,0.8154,126.5
fmnist,coreset,0.0,1,4,2500,0.8310,187.9
fmnist,coreset,0.0,1,5,3000,0.8336,262.0
fmnist,coreset,0.0,2,0,500,0.7495,13.6
fmnist,coreset,0.0,2,1,1000,0.8102,43.6
fmnist,coreset,0.0,2,2,1500,0.8214,87.1
fmnist,coreset,0.0,2,3,2000,0.8358,140.8
fmnist,coreset,0.0,2,4,2500,0.8380,204.4
fmnist,coreset,0.0,2,5,3000,0.8360,278.4
fmnist,iris,0.0,0,0,500,0.7501,12.0
fmnist,iris,0.0,0,1,1000,0.8092,39.8
fmnist,iris,0.0,0,2,1500,0.8400,80.4
fmnist,iris,0.0,0,3,2000,0.8610,132.4
fmnist,iris,0.0,0,4,2500,0.8691,196.1
fmnist,iris,0.0,0,5,3000,0.8798,290.5
fmnist,iris,0.0,1,0,500,0.7103,17.2
fmnist,iris,0.0,1,1,1000,0.7728,55.8
fmnist,iris,0.0,1,2,1500,0.8137,104.4
fmnist,iris,0.0,1,3,2000,0.8412,167.4
fmnist,iris,0.0,1,4,2500,0.8630,253.9
fmnist,iris,0.0,1,5,3000,0.8694,375.1
fmnist,iris,0.0,2,0,500,0.7495,21.5
fmnist,iris,0.0,2,1,1000,0.7962,71.6
fmnist,iris,0.0,2,2,1500,0.8101,152.3
fmnist,iris,0.0,2,3,2000,0.8374,252.0
fmnist,iris,0.0,2,4,2500,0.8659,375.0
fmnist,iris,0.0,2,5,3000,0.8760,521.9
fmnist,iris-nodiv,0.0,0,0,500,0.7501,24.6
fmnist,iris-nodiv,0.0,0,1,1000,0.7919,73.7
fmnist,iris-nodiv,0.0,0,2,1500,0.8169,148.1
fmnist,iris-nodiv,0.0,0,3,2000,0.8444,245.6
fmnist,iris-nodiv,0.0,0,4,2500,0.8568,362.8
fmnist,iris-nodiv,0.0,1,0,500,0.7103,24.5
fmnist,iris-nodiv,0.0,0,0,500,0.7501,24.3
fmnist,iris-nodiv,0.0,0,1,1000,0.7919,74.7
fmnist,iris-nodiv,0.0,0,2,1500,0.8169,143.9
fmnist,iris-nodiv,0.0,0,3,2000,0.8444,236.1
fmnist,iris-nodiv,0.0,0,4,2500,0.8591,350.3
fmnist,iris-nodiv,0.0,0,5,3000,0.8757,490.0
fmnist,iris-nodiv,0.0,1,0,500,0.7103,25.1
fmnist,iris-nodiv,0.0,1,1,1000,0.7640,79.3
fmnist,iris-nodiv,0.0,1,2,1500,0.8030,156.2
fmnist,iris-nodiv,0.0,1,3,2000,0.8097,259.8
fmnist,iris-nodiv,0.0,1,4,2500,0.8433,378.3
fmnist,iris-nodiv,0.0,1,5,3000,0.8515,516.5
fmnist,iris-nodiv,0.0,2,0,500,0.7488,12.0
fmnist,iris-nodiv,0.0,2,1,1000,0.7697,45.8
fmnist,iris-nodiv,0.0,2,2,1500,0.8022,86.2
fmnist,iris-nodiv,0.0,2,3,2000,0.8172,135.4
fmnist,iris-nodiv,0.0,2,4,2500,0.8368,189.9
fmnist,iris-nodiv,0.0,2,5,3000,0.8641,252.1
fmnist,random,0.2,0,0,500,0.7234,12.0
fmnist,random,0.2,0,1,1000,0.7702,32.0
fmnist,random,0.2,0,2,1500,0.7970,58.6
fmnist,random,0.2,0,3,2000,0.7995,92.2
fmnist,random,0.2,0,4,2500,0.8217,132.4
fmnist,random,0.2,0,5,3000,0.8463,181.3
fmnist,random,0.2,1,0,500,0.7201,11.9
fmnist,random,0.2,1,1,1000,0.7700,32.5
fmnist,random,0.2,1,2,1500,0.7948,58.7
fmnist,random,0.2,1,3,2000,0.8131,92.8
fmnist,random,0.2,1,4,2500,0.8198,134.3
fmnist,random,0.2,1,5,3000,0.8389,183.5
fmnist,random,0.2,2,0,500,0.7320,12.6
fmnist,random,0.2,2,1,1000,0.7845,33.7
fmnist,random,0.2,2,2,1500,0.7929,60.4
fmnist,random,0.2,2,3,2000,0.8121,94.5
fmnist,random,0.2,2,4,2500,0.8250,138.6
fmnist,random,0.2,2,5,3000,0.8420,187.3
fmnist,entropy,0.2,0,0,500,0.7234,12.2
fmnist,entropy,0.2,0,1,1000,0.7750,44.4
fmnist,entropy,0.2,0,2,1500,0.7939,84.6
fmnist,entropy,0.2,0,3,2000,0.8101,131.6
fmnist,entropy,0.2,0,4,2500,0.8296,189.2
fmnist,entropy,0.2,0,5,3000,0.8516,249.1
fmnist,entropy,0.2,1,0,500,0.7201,13.0
fmnist,entropy,0.2,1,1,1000,0.7594,47.3
fmnist,entropy,0.2,1,2,1500,0.7725,89.0
fmnist,entropy,0.2,1,3,2000,0.7855,136.5
fmnist,entropy,0.2,1,4,2500,0.8196,188.7
fmnist,entropy,0.2,1,5,3000,0.8405,247.1
fmnist,entropy,0.2,2,0,500,0.7320,12.4
fmnist,entropy,0.2,2,1,1000,0.7624,44.0
fmnist,entropy,0.2,2,2,1500,0.8014,84.5
fmnist,entropy,0.2,2,3,2000,0.8208,131.3
fmnist,entropy,0.2,2,4,2500,0.8248,184.7
fmnist,entropy,0.2,2,5,3000,0.8487,246.7
fmnist,bald,0.2,0,0,500,0.7234,12.5
fmnist,bald,0.2,0,1,1000,0.7627,158.9
fmnist,bald,0.2,0,2,1500,0.7702,316.5
fmnist,bald,0.2,0,3,2000,0.7812,473.4
fmnist,bald,0.2,0,4,2500,0.7861,640.1
fmnist,bald,0.2,0,5,3000,0.8214,811.0
fmnist,bald,0.2,1,0,500,0.7201,12.6
fmnist,bald,0.2,1,1,1000,0.7541,163.0
fmnist,bald,0.2,1,2,1500,0.7819,316.8
fmnist,bald,0.2,1,3,2000,0.7833,468.8
fmnist,bald,0.2,1,4,2500,0.7857,636.7
fmnist,bald,0.2,1,5,3000,0.8217,909.5
fmnist,bald,0.2,2,0,500,0.7320,25.2
fmnist,bald,0.2,2,1,1000,0.7493,255.5
fmnist,bald,0.2,2,2,1500,0.7645,494.8
fmnist,bald,0.2,2,3,2000,0.7859,726.5
fmnist,bald,0.2,2,4,2500,0.8042,914.5
fmnist,bald,0.2,2,5,3000,0.8201,1097.5
fmnist,coreset,0.2,0,0,500,0.7234,12.7
fmnist,coreset,0.2,0,1,1000,0.7591,55.6
fmnist,coreset,0.2,0,2,1500,0.7842,105.9
fmnist,coreset,0.2,0,3,2000,0.7865,161.1
fmnist,coreset,0.2,0,4,2500,0.7930,228.4
fmnist,coreset,0.2,0,5,3000,0.8036,300.5
fmnist,coreset,0.2,1,0,500,0.7201,12.3
fmnist,coreset,0.2,1,1,1000,0.7656,56.5
fmnist,coreset,0.2,1,2,1500,0.7879,106.2
fmnist,coreset,0.2,1,3,2000,0.7876,163.8
fmnist,coreset,0.2,1,4,2500,0.8047,227.8
fmnist,coreset,0.2,1,5,3000,0.8190,296.2
fmnist,coreset,0.2,2,0,500,0.7320,11.9
fmnist,coreset,0.2,2,1,1000,0.7716,59.2
fmnist,coreset,0.2,2,2,1500,0.7835,114.6
fmnist,coreset,0.2,2,3,2000,0.8014,182.5
fmnist,coreset,0.2,2,4,2500,0.8111,257.2
fmnist,coreset,0.2,2,5,3000,0.8242,341.6
fmnist,iris,0.2,0,0,500,0.7199,14.3
fmnist,iris,0.2,0,1,1000,0.7730,49.3
fmnist,iris,0.2,0,2,1500,0.8007,96.2
fmnist,iris,0.2,0,3,2000,0.8095,150.9
fmnist,iris,0.2,0,4,2500,0.8348,218.3
fmnist,iris,0.2,0,5,3000,0.8538,290.2
fmnist,iris,0.2,1,0,500,0.7262,12.9
fmnist,iris,0.2,1,1,1000,0.7642,50.5
fmnist,iris,0.2,1,2,1500,0.8074,98.8
fmnist,iris,0.2,1,3,2000,0.8208,155.4
fmnist,iris,0.2,1,4,2500,0.8473,226.7
fmnist,iris,0.2,1,5,3000,0.8412,301.6
fmnist,iris,0.2,2,0,500,0.7282,14.0
fmnist,iris,0.2,2,1,1000,0.7612,49.7
fmnist,iris,0.2,2,2,1500,0.7798,96.5
fmnist,iris,0.2,2,3,2000,0.8094,152.7
fmnist,iris,0.2,2,4,2500,0.8391,219.2
fmnist,iris,0.2,2,5,3000,0.8512,297.3
fmnist,iris-norel,0.2,0,0,500,0.7234,13.0
fmnist,iris-norel,0.2,0,1,1000,0.7609,51.9
fmnist,iris-norel,0.2,0,2,1500,0.7954,97.2
fmnist,iris-norel,0.2,0,3,2000,0.8128,151.8
fmnist,iris-norel,0.2,0,4,2500,0.8362,225.1
fmnist,iris-norel,0.2,0,5,3000,0.8517,295.9
fmnist,iris-norel,0.2,1,0,500,0.7201,12.6
fmnist,iris-norel,0.2,1,1,1000,0.7645,52.5
fmnist,iris-norel,0.2,1,2,1500,0.7964,98.6
fmnist,iris-norel,0.2,1,3,2000,0.8111,159.0
fmnist,iris-norel,0.2,1,4,2500,0.8379,227.3
fmnist,iris-norel,0.2,1,5,3000,0.8352,305.4
fmnist,iris-norel,0.2,2,0,500,0.7320,14.3
fmnist,iris-norel,0.2,2,1,1000,0.7578,51.4
fmnist,iris-norel,0.2,2,2,1500,0.7897,102.6
fmnist,iris-norel,0.2,2,3,2000,0.8110,160.0
fmnist,iris-norel,0.2,2,4,2500,0.8326,226.2
fmnist,iris-norel,0.2,2,5,3000,0.8500,301.3
cifar10,random,0.0,0,0,1000,0.4613,45.5
cifar10,random,0.0,0,1,2000,0.5444,129.1
cifar10,random,0.0,0,2,3000,0.6221,251.5
cifar10,random,0.0,0,3,4000,0.6632,417.7
cifar10,random,0.0,0,4,5000,0.6144,624.3
cifar10,random,0.0,0,5,6000,0.7334,858.2
cifar10,random,0.0,1,0,1000,0.4615,41.5
cifar10,random,0.0,1,1,2000,0.5565,119.3
cifar10,random,0.0,1,2,3000,0.6220,222.4
cifar10,random,0.0,1,3,4000,0.6674,360.0
cifar10,random,0.0,1,4,5000,0.6398,534.0
cifar10,random,0.0,1,5,6000,0.7447,742.2
cifar10,random,0.0,2,0,1000,0.4605,41.0
cifar10,random,0.0,2,1,2000,0.5353,117.3
cifar10,random,0.0,2,2,3000,0.5992,227.0
cifar10,random,0.0,2,3,4000,0.6471,368.2
cifar10,random,0.0,2,4,5000,0.6241,534.0
cifar10,random,0.0,2,5,6000,0.7378,735.0
cifar10,entropy,0.0,0,0,1000,0.4521,39.7
cifar10,entropy,0.0,0,1,2000,0.5372,124.8
cifar10,entropy,0.0,0,2,3000,0.6346,231.0
