dataset,noise,method,n_seeds,final_acc_mean,final_acc_std,aubc_mean,aubc_std
fmnist,0.0,random,6,0.8628333333333335,0.004072945971761575,0.8207666666666666,0.0021849841087650066
fmnist,0.0,entropy,6,0.8710833333333333,0.004824042795093037,0.8279683333333333,0.0033161695607365313
fmnist,0.0,bald,6,0.8802833333333333,0.0070444816858461715,0.8256683333333333,0.00675058865745958
fmnist,0.0,coreset,6,0.8385833333333332,0.004817128005588211,0.8094783333333333,0.0034681090749219125
fmnist,0.0,iris,6,0.8760833333333333,0.0064597256563692735,0.826515,0.0051829262969870765
fmnist,0.0,iris-nodiv,6,0.8630666666666666,0.007378497287539131,0.8131533333333333,0.008792970045566081
fmnist,0.2,random,6,0.83715,0.005353114358327621,0.79614,0.003917167343885175
fmnist,0.2,entropy,6,0.84295,0.0047317192083498345,0.7919933333333332,0.009117795176954222
fmnist,0.2,bald,6,0.8192333333333334,0.013029411174552565,0.7780883333333334,0.0045996246827564
fmnist,0.2,coreset,6,0.8189333333333333,0.004638486343146416,0.783925,0.004595333683930547
fmnist,0.2,iris,6,0.8567666666666666,0.006081026960052774,0.8039766666666667,0.0038104665797714927
fmnist,0.2,iris-norel,6,0.8455333333333331,0.002521683740854295,0.792765,0.004812302809812928
bloodmnist,0.0,random,6,0.8946833333333334,0.0067565811538742694,0.8362883333333334,0.009819847956505683
bloodmnist,0.0,entropy,6,0.9125166666666668,0.009688036723483017,0.8209616666666667,0.013251829328645734
bloodmnist,0.0,bald,6,0.9150499999999999,0.007264009453004126,0.8393683333333334,0.008416043046203763
bloodmnist,0.0,coreset,6,0.8583,0.01272569578975284,0.8210366666666666,0.007987214088084114
bloodmnist,0.0,iris,6,0.9061833333333333,0.009129333065576175,0.8113816666666667,0.005312621501878567
bloodmnist,0.0,iris-nodiv,6,0.8767499999999999,0.017287158046750583,0.792715,0.009485571059948522
bloodmnist,0.2,random,6,0.8693833333333334,0.007518070822284739,0.8000283333333335,0.009797485079799282
bloodmnist,0.2,entropy,6,0.8651666666666668,0.016923816223167742,0.7668233333333333,0.013373909509023774
bloodmnist,0.2,bald,6,0.8332499999999999,0.010777561567132585,0.752535,0.014720461666220498
bloodmnist,0.2,coreset,6,0.87095,0.0045146982180429285,0.7896783333333333,0.010818997822760147
bloodmnist,0.2,iris,6,0.8781666666666665,0.007462945501312169,0.7852199999999999,0.007665518029896395
bloodmnist,0.2,iris-norel,6,0.8735333333333332,0.011457263586428007,0.7732999999999999,0.008981035575032511
cifar10,0.0,random,3,0.7450333333333333,0.004563867755411948,0.6199233333333333,0.005767618418569516
cifar10,0.0,entropy,3,0.7341666666666667,0.024078944236730074,0.5891966666666667,0.01432135080531474
cifar10,0.0,bald,3,0.7371,0.01138507795318065,0.5990966666666667,0.005267335400581764
cifar10,0.0,coreset,3,0.7142666666666666,0.005662939951022685,0.5926533333333334,0.005082429427831667
cifar10,0.0,iris,3,0.7090666666666666,0.017100162442373338,0.5926266666666666,0.0077910432905712946
cifar10,0.0,iris-nodiv,3,0.6843666666666667,0.031486116870067596,0.5667033333333332,0.007835514589922486
cifar10,0.2,random,3,0.6323666666666666,0.0054798621231641085,0.54001,0.005102162940035021
cifar10,0.2,entropy,3,0.6215666666666667,0.01286450759087016,0.5147366666666666,0.008321403460688276
cifar10,0.2,bald,3,0.6054666666666666,0.014172822192100218,0.48996666666666666,0.012777757584525174
cifar10,0.2,coreset,3,0.6036333333333332,0.0028940552094864564,0.49889,0.003918171342178236
cifar10,0.2,iris,3,0.6219666666666667,0.0029803057263009633,0.5168766666666667,0.010696346208973528
cifar10,0.2,iris-norel,3,0.6208999999999999,0.004042276586281516,0.5096566666666665,0.005314109102714759
